Distance;Class
5570.68555692592;0
5576.20987527257;0
5580.2748557794;0
5596.39207571489;0
5627.39312195225;0
5643.31988520888;0
5653.97843518983;0
5659.73138131665;0
5676.07887774166;0
5704.46296537322;0
5738.17614781322;0
5741.16438487333;0
5748.63219681471;0
5749.48461044483;0
5762.73972701011;0
5769.75928558526;0
5772.26440259055;0
5792.24113068616;0
5807.09939092189;0
5855.80260653472;0
5869.3936278086;0
5911.04776159012;0
5919.61010921505;0
5923.97139317776;0
5934.36510150475;0
5989.63615635493;0
5999.89708166687;0
6035.07899087429;0
6044.33310102077;0
6045.26023899971;0
6071.97884319955;0
6072.20720751392;0
6074.26906429395;0
6086.0400489844;0
6092.70592358794;0
6101.27713628952;0
6102.45171617915;0
6104.34575444897;0
6106.40717484666;0
6113.54568046992;0
6117.09527018603;0
6130.46648081091;0
6145.97560575619;0
6170.71988412454;0
6184.89964397125;0
6200.38897017432;0
6204.2491684741;0
6218.91228284019;0
6221.58497180451;0
6236.11257918239;0
6267.94434683724;0
6306.96495513958;0
6322.5239539051;0
6325.12008133759;0
6336.74896155317;0
6337.01576122523;0
6337.0773348048;0
6343.37518546264;0
6351.6050583144;0
6357.25988414181;0
6364.6547002796;0
6368.53429319923;0
6391.43803321094;0
6392.63425283684;0
6393.61379693864;0
6400.09589748514;0
6408.98326391919;0
6411.64222783285;0
6426.26365645356;0
6444.42141242353;0
6448.70836767917;0
6461.98126687341;0
6470.14051732665;0
6486.74189089931;0
6505.42964725257;0
6513.73772023717;0
6526.13716331095;0
6568.07125507166;0
6596.37179199098;0
6597.53867418813;0
6611.88433811337;0
6657.8843763549;0
6664.88325925133;0
6683.03696861006;0
6702.092819075;0
6728.92684920936;0
6751.42337560149;0
6775.32117497058;0
6809.32430111949;0
6831.23640889662;0
6849.84736841701;0
6871.96680951853;0
6884.46289473936;0
6887.44261286362;0
6903.60591901422;0
6915.34536789917;0
6927.50453369595;0
6938.1524414465;0
6958.71425401851;0
6961.08904172264;0
6970.23284153319;0
6983.1888731318;0
6994.84818544573;0
7046.0331352031;0
7062.02502607563;0
7077.1866064864;0
7077.5301782906;0
7078.59622810206;0
7090.79998532592;0
7101.70266109199;0
7113.97942514284;0
7131.27287844294;0
7144.30007736115;0
7152.68824835259;0
7183.22484548906;0
7187.28519029119;0
7193.26023754299;0
7195.53070838478;0
7208.17514568161;0
7211.62247307752;0
7241.81645547344;0
7242.1227391499;0
7278.38980613739;0
7283.16757390656;0
7288.98257240465;0
7308.58523272821;0
7351.39598229974;0
7372.00477362965;0
7413.05121296581;0
7423.83033051217;0
7425.74114087985;0
7428.98980428374;0
7433.74614481703;0
7452.32968764178;0
7488.95609816318;0
7508.4363109404;0
7521.67544941581;0
7523.97186414247;0
7569.59486120159;0
7617.6612743859;0
7632.55275391212;0
7639.15039550421;0
7696.23985540821;0
7728.43034981711;0
7764.16255819757;0
7784.0238631903;0
7786.45482154131;0
7790.57931163268;0
7798.30683523686;0
7805.24798145565;0
7825.19975181601;0
7838.92476920534;0
7844.10984931736;0
7899.61999438502;0
7923.42981057475;0
7929.10278630029;0
7932.91526356589;0
7940.84530930071;0
7957.19947794612;0
8018.27662266844;0
8028.31957124147;0
8049.66195953841;0
8056.18436377524;0
8057.29696468748;0
8120.02541619857;0
8146.13401338164;0
8158.37842739891;0
8160.43103825675;0
8182.76538735434;0
8186.77752204224;0
8206.11881923765;0
8271.63565170295;0
8278.6462960652;0
8286.62687104556;0
8298.34035707232;0
8298.88447568362;0
8300.25763131025;0
8310.16010968675;0
8337.49393398947;0
8339.56952193229;0
8340.80893961297;0
8342.20653302611;0
